sex,dataset,technology,description,annotation_method,unique_cell_type_count
Male,https://entity.api.hubmapconsortium.org/entities/f9848244883f6c70972acef16680431a,RNAseq,Dataset Type: RNAseq [Salmon],pan-human-azimuth,38
Male,https://entity.api.hubmapconsortium.org/entities/d6e6c8e452ed628425e9e928306a6db0,RNAseq,Dataset Type: RNAseq [Salmon],pan-human-azimuth,25
Male,https://entity.api.hubmapconsortium.org/entities/19304b10d9e1f17af19cccb2feb014a5,RNAseq,Dataset Type: RNAseq [Salmon],azimuth,21
Male,https://entity.api.hubmapconsortium.org/entities/dd648e4648238b25a7d1062669ea89af,RNAseq,Dataset Type: RNAseq [Salmon],azimuth,32
Male,https://entity.api.hubmapconsortium.org/entities/dd648e4648238b25a7d1062669ea89af,RNAseq,Dataset Type: RNAseq [Salmon],celltypist,53
Female,https://entity.api.hubmapconsortium.org/entities/2d0deacd8be70eefbdc33ac107d97e58,RNAseq,Dataset Type: RNAseq [Salmon],pan-human-azimuth,23
Male,https://entity.api.hubmapconsortium.org/entities/63349325056ccff582f1d095055c7e12,RNAseq,Dataset Type: RNAseq [Salmon],azimuth,33
Male,https://entity.api.hubmapconsortium.org/entities/63349325056ccff582f1d095055c7e12,RNAseq,Dataset Type: RNAseq [Salmon],pan-human-azimuth,12
Male,https://entity.api.hubmapconsortium.org/entities/6c4582697caa32064baebc97cade18ef,RNAseq,Dataset Type: RNAseq [Salmon],azimuth,19
Male,https://doi.org/10.1016/j.cell.2022.12.028#CRC01052,t-CyCIF,"Multiplexed CyCIF and H&E imaging, combined with scRNA-seq, and GeoMx transcriptomics",sc_proteomics,13
Male,https://doi.org/10.1016/j.cell.2022.12.028#CRC01054,t-CyCIF,"Multiplexed CyCIF and H&E imaging, combined with scRNA-seq, and GeoMx transcriptomics",sc_proteomics,13
Male,https://doi.org/10.1016/j.cell.2022.12.028#CRC01059,t-CyCIF,"Multiplexed CyCIF and H&E imaging, combined with scRNA-seq, and GeoMx transcriptomics",sc_proteomics,13
Male,https://doi.org/10.1016/j.cell.2022.12.028#CRC01064,t-CyCIF,"Multiplexed CyCIF and H&E imaging, combined with scRNA-seq, and GeoMx transcriptomics",sc_proteomics,11
Male,https://doi.org/10.1016/j.cell.2022.12.028#CRC01069,t-CyCIF,"Multiplexed CyCIF and H&E imaging, combined with scRNA-seq, and GeoMx transcriptomics",sc_proteomics,13
Male,https://doi.org/10.1016/j.cell.2022.12.028#CRC01074,t-CyCIF,"Multiplexed CyCIF and H&E imaging, combined with scRNA-seq, and GeoMx transcriptomics",sc_proteomics,13
Male,https://entity.api.hubmapconsortium.org/entities/35234b5e3eda236bb80ef3722da366f7,Slide-seq,Dataset Type: Slide-seq [Salmon],pan-human-azimuth,35
Male,https://entity.api.hubmapconsortium.org/entities/39e55aa4b6953651230feff506c00fec,Slide-seq,Dataset Type: Slide-seq [Salmon],azimuth,40
Male,https://entity.api.hubmapconsortium.org/entities/39e55aa4b6953651230feff506c00fec,Slide-seq,Dataset Type: Slide-seq [Salmon],pan-human-azimuth,35
Male,https://entity.api.hubmapconsortium.org/entities/6c4582697caa32064baebc97cade18ef,RNAseq,Dataset Type: RNAseq [Salmon],pan-human-azimuth,36
Male,https://entity.api.hubmapconsortium.org/entities/35234b5e3eda236bb80ef3722da366f7,Slide-seq,Dataset Type: Slide-seq [Salmon],azimuth,40
Male,https://entity.api.hubmapconsortium.org/entities/ee6e44b3e6cb77ef1806e722390a01a8,RNAseq,Dataset Type: RNAseq [Salmon],popv,29
Male,https://entity.api.hubmapconsortium.org/entities/ee6e44b3e6cb77ef1806e722390a01a8,RNAseq,Dataset Type: RNAseq [Salmon],frmatch,52
