cell_label,cell_id,is_mapped,level_1_cell_id,level_1_cell_label,level_2_cell_id,level_2_cell_label
gamete,http://purl.obolibrary.org/obo/CL_0000300,true,http://purl.obolibrary.org/obo/CL_0000039,germ line cell,,
pole cell,http://purl.obolibrary.org/obo/CL_0000301,true,http://purl.obolibrary.org/obo/CL_0000039,germ line cell,,
tracheal epithelial cell,http://purl.obolibrary.org/obo/CL_0000307,true,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell,,
keratinocyte,http://purl.obolibrary.org/obo/CL_0000312,true,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell,,
tear secreting cell,http://purl.obolibrary.org/obo/CL_0000315,true,http://purl.obolibrary.org/obo/CL_0000152,exocrine cell,,
sebocyte,http://purl.obolibrary.org/obo/CL_0000317,true,http://purl.obolibrary.org/obo/CL_0000152,exocrine cell,,
sweat secreting cell,http://purl.obolibrary.org/obo/CL_0000318,true,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell,,
pulmonary alveolar epithelial cell,http://purl.obolibrary.org/obo/CL_0000322,true,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell,,
metanephric mesenchyme stem cell,http://purl.obolibrary.org/obo/CL_0000324,true,http://purl.obolibrary.org/obo/CL_0002320,connective tissue cell,,
extracellular matrix secreting cell,http://purl.obolibrary.org/obo/CL_0000327,true,http://purl.obolibrary.org/obo/CL_0002320,connective tissue cell,http://purl.obolibrary.org/obo/CL_0000499,stromal cell
migratory neural crest cell,http://purl.obolibrary.org/obo/CL_0000333,true,http://purl.obolibrary.org/obo/CL_0000034,stem cell,,
adrenal medulla chromaffin cell,http://purl.obolibrary.org/obo/CL_0000336,true,http://purl.obolibrary.org/obo/CL_0002319,neural cell,http://purl.obolibrary.org/obo/CL_0000540,neuron
neuroblast (sensu Nematoda and Protostomia),http://purl.obolibrary.org/obo/CL_0000338,true,http://purl.obolibrary.org/obo/CL_0002319,neural cell,,
glioblast (sensu Vertebrata),http://purl.obolibrary.org/obo/CL_0000339,true,http://purl.obolibrary.org/obo/CL_0002319,neural cell,,
glioblast (sensu Nematoda and Protostomia),http://purl.obolibrary.org/obo/CL_0000340,true,http://purl.obolibrary.org/obo/CL_0002319,neural cell,,
hair follicle dermal papilla cell,http://purl.obolibrary.org/obo/CL_0000346,true,http://purl.obolibrary.org/obo/CL_0002320,connective tissue cell,,
extraembryonic cell,http://purl.obolibrary.org/obo/CL_0000349,true,http://purl.obolibrary.org/obo/CL_0000349,extraembryonic cell,,
amnioserosal cell,http://purl.obolibrary.org/obo/CL_0000350,true,http://purl.obolibrary.org/obo/CL_0000349,extraembryonic cell,,
trophoblast cell,http://purl.obolibrary.org/obo/CL_0000351,true,http://purl.obolibrary.org/obo/CL_0000349,extraembryonic cell,,
epiblast cell,http://purl.obolibrary.org/obo/CL_0000352,true,http://purl.obolibrary.org/obo/CL_0000034,stem cell,,
blastemal cell,http://purl.obolibrary.org/obo/CL_0000354,true,http://purl.obolibrary.org/obo/CL_0000034,stem cell,,
multi-potent skeletal muscle stem cell,http://purl.obolibrary.org/obo/CL_0000355,true,http://purl.obolibrary.org/obo/CL_0000034,stem cell,,
