dataset,reported_organ,tool,modality,as,similarity
http://purl.org/ccf/1.5/05310dee-180d-4e59-8c58-b101d12f4c73,Unknown,popv,sc_bulk,http://purl.org/sig/ont/fma/fma14929,0.0007854642011946686
http://purl.org/ccf/1.5/05310dee-180d-4e59-8c58-b101d12f4c73,Unknown,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0001159,0.000765237584461124
http://purl.org/ccf/1.5/05310dee-180d-4e59-8c58-b101d12f4c73,Unknown,popv,sc_bulk,http://purl.org/sig/ont/fma/fma7375,0.9588318321441751
http://purl.org/ccf/1.5/05310dee-180d-4e59-8c58-b101d12f4c73,Unknown,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_8410027,0.0744986274049617
http://purl.org/ccf/1.5/05310dee-180d-4e59-8c58-b101d12f4c73,Unknown,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0010397,0.030127977248324393
http://purl.org/ccf/1.5/05310dee-180d-4e59-8c58-b101d12f4c73,Unknown,popv,sc_bulk,http://purl.org/sig/ont/fma/fma14966,0.0007840890160710288
http://purl.org/ccf/1.5/05310dee-180d-4e59-8c58-b101d12f4c73,Unknown,popv,sc_bulk,http://purl.org/sig/ont/fma/fma15828,0.003102805257671552
http://purl.org/ccf/1.5/05310dee-180d-4e59-8c58-b101d12f4c73,Unknown,popv,sc_bulk,http://purl.org/sig/ont/fma/fma7364,0.9683508588958517
http://purl.org/ccf/1.5/05310dee-180d-4e59-8c58-b101d12f4c73,Unknown,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0001248,0.005239934366258988
http://purl.org/ccf/1.5/05310dee-180d-4e59-8c58-b101d12f4c73,Unknown,popv,sc_bulk,http://purl.org/sig/ont/fma/fma14930,0.0008325868526841957
http://purl.org/ccf/1.5/05310dee-180d-4e59-8c58-b101d12f4c73,Unknown,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0002094,0.016319983624816656
http://purl.org/ccf/1.5/05310dee-180d-4e59-8c58-b101d12f4c73,Unknown,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0002097,0.005551532388120675
http://purl.org/ccf/1.5/05310dee-180d-4e59-8c58-b101d12f4c73,Unknown,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0002115,0.0007204057939073309
http://purl.org/ccf/1.5/05310dee-180d-4e59-8c58-b101d12f4c73,Unknown,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0002079,0.027573858882355525
http://purl.org/ccf/1.5/05310dee-180d-4e59-8c58-b101d12f4c73,Unknown,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0002194,0.024936534788036036
http://purl.org/ccf/1.5/05310dee-180d-4e59-8c58-b101d12f4c73,Unknown,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0006082,0.04532914935334859
http://purl.org/ccf/1.5/05310dee-180d-4e59-8c58-b101d12f4c73,Unknown,popv,sc_bulk,http://purl.org/sig/ont/fma/fma7339,0.9992902084470923
http://purl.org/ccf/1.5/05310dee-180d-4e59-8c58-b101d12f4c73,Unknown,popv,sc_bulk,http://purl.org/sig/ont/fma/fma7359,0.9757735582817811
http://purl.org/ccf/1.5/05310dee-180d-4e59-8c58-b101d12f4c73,Unknown,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0002116,0.0005197252566075651
http://purl.org/ccf/1.5/05310dee-180d-4e59-8c58-b101d12f4c73,Unknown,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0002080,0.012618249064480032
http://purl.org/ccf/1.5/05310dee-180d-4e59-8c58-b101d12f4c73,Unknown,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0001052,0.10822096878001052
http://purl.org/ccf/1.5/05310dee-180d-4e59-8c58-b101d12f4c73,Unknown,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0010417,0.02560071935114097
http://purl.org/ccf/1.5/05310dee-180d-4e59-8c58-b101d12f4c73,Unknown,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0001157,0.0007283234072320547
http://purl.org/ccf/1.5/05310dee-180d-4e59-8c58-b101d12f4c73,Unknown,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0002007,0.025396044912180674
http://purl.org/ccf/1.5/05310dee-180d-4e59-8c58-b101d12f4c73,Unknown,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0002078,0.02833470457160902
http://purl.org/ccf/1.5/05310dee-180d-4e59-8c58-b101d12f4c73,Unknown,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0004536,0.02298807634540634
http://purl.org/ccf/1.5/05310dee-180d-4e59-8c58-b101d12f4c73,Unknown,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_8410026,0.0744986274049617
